white_elo,black_elo,result,time_control,opening_moves,eco_code,opening_name,avg_elo,rating_group
1561,1503,black,60+0,e4 g6 d4 Bg7 c3 e6 Bd3 f5 exf5 gxf5,B06,Modern Defense,1532,intermediate
1489,1561,black,300+3,e4 e5 Bc4 c6 Nf3 d5 exd5 cxd5 Bb3 Nc6,C23,Bishop's Opening: Philidor Counterattack,1525,intermediate
1492,1525,white,1560+30,e4 c5 Nf3 d6 h3 Nc6 d4 cxd4 Nxd4 e5,B50,Sicilian Defense: Modern Variations,1508,intermediate
1347,1519,black,300+5,e4 d5 e5 d4 Nf3 Nc6 c3 d3 Na3 f6,B01,Scandinavian Defense,1433,intermediate
1162,1244,white,420+0,e3 d5 b3 e5 Bb2 Qg5 g3 Nf6 Bh3 Nc6,A00,Van't Kruijs Opening,1203,novice
1627,1633,white,180+15,d4 b6 c4 e6 Nc3 Bb7 a3 g6 h3 Bg7,A40,English Defense,1630,advanced
1360,1722,black,240+0,d4 d5 Nf3 Nf6 e3 Bf5 Nh4 Bg6 Nxg6 hxg6,D04,"Queen's Pawn Game: Colle System, Anti-Colle",1541,intermediate
1769,1799,black,300+8,e4 e5 Nf3 Nc6 Bc4 Bc5 b4 Bxb4 c3 Bc5,C51,"Italian Game: Evans Gambit, McDonnell Defense",1784,advanced
1533,1712,white,300+0,e4 c6 Nf3 d5 exd5 cxd5 d4 Nc6 Nc3 e6,B10,Caro-Kann Defense,1622,advanced
1744,1773,black,540+0,e4 e6 b3 d6 Bb2 e5 g3 Nf6 Bh3 Bxh3,C00,French Defense: Horwitz Attack,1758,advanced
1720,1865,black,60+1,e4 Nf6 Nf3 Nxe4 Nc3 Nxc3 dxc3 e6 Bg5 Be7,B02,Alekhine Defense,1792,advanced
1871,1714,black,60+1,Nc3 c5 d3 g6 e4 Bg7 f4 Nc6 Nf3 e6,A00,Van Geet Opening,1792,advanced
1500,1511,black,60+0,d4 Nc6 e3 d5 Bd3 Bf5 Bd2 e6 Nf3 Bxd3,A40,Mikenas Defense,1505,intermediate
1179,1223,white,420+0,e3 d5 b3 e5 Bb2 Nf6 g3 Nc6 Bg2 Bf5,A00,Van't Kruijs Opening,1201,novice
1341,1290,white,300+5,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 d5 dxe5 Nxe4,C56,"Italian Game: Two Knights Defense, Open Variation",1315,intermediate
1511,1430,white,420+0,c4 d6 e4 Nf6 Nc3 e5 Nf3 Be6 d3 Be7,A10,English Opening,1470,intermediate
1577,1331,white,60+0,d4 d5 c4 Bf5 Bf4 dxc4 e3 e6 Bxc4 Bd6,D06,Queen's Gambit Declined: Baltic Defense,1454,intermediate
1472,1504,black,1560+30,e4 c5 Nf3 Nc6 Bb5 d6 c3 Bd7 d4 cxd4,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1488,intermediate
1725,1785,draw,360+6,e4 e6 d4 d5 e5 c5 c3 Ne7 f4 Nbc6,C02,French Defense: Advance Variation,1755,advanced
1729,1856,black,60+0,e4 c6 Nf3 d5 exd5 cxd5 d4 Nc6 Nc3 Bf5,B10,Caro-Kann Defense,1792,advanced
1668,1907,black,420+9,d4 d6 e4 Nd7 Bb5 c6 Bc4 e5 d5 Ngf6,A41,Queen's Pawn Game,1787,advanced
1856,1729,white,60+0,e4 c5 Nf3 g6 Bc4 Bg7 O-O e6 d4 Ne7,B27,Sicilian Defense: Hyperaccelerated Dragon,1792,advanced
1856,1786,black,60+0,d4 e5 c4 exd4 Qxd4 Nc6 Qd1 d6 Nc3 Nf6,A40,Englund Gambit,1821,advanced
1351,1542,white,300+5,e4 d5 e5 d4 d3 Qd5 Nf3 h6 c3 dxc3,B01,Scandinavian Defense,1446,intermediate
1695,1757,white,240+0,e4 c5 c3 g6 d4 cxd4 cxd4 Bg7 Nf3 e6,B22,Sicilian Defense: Alapin Variation,1726,advanced
1421,1520,black,420+0,e4 Nc6 d4 e5 d5 Nce7 Nc3 Ng6 Bd3 Bb4,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",1470,intermediate
1556,1525,black,480+8,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 Nf6 Nc3 a6,C22,Center Game: Berger Variation,1540,intermediate
1722,1863,black,60+0,e4 c5 Nf3 d6 Nc3 Nc6 d4 cxd4 Nxd4 g6,B50,Sicilian Defense: Modern Variations,1792,advanced
1270,1646,black,60+0,d4 b6 e3 Bb7 Bd3 a6 Nf3 g6 e4 c6,A40,English Defense,1458,intermediate
1649,1242,white,60+0,b3 d5 Bb2 e5 a4 f5 a5 c5 a6 bxa6,A01,Nimzo-Larsen Attack: Classical Variation,1445,intermediate
1871,1627,white,60+0,e4 e5 Nf3 d6 Bc4 Nf6 Nc3 h6 d4 Be7,C41,Philidor Defense,1749,advanced
1514,1550,white,480+0,d4 d5 c4 e6 c5 c6 b4 a5 a3 axb4,D30,Queen's Gambit Declined,1532,intermediate
1799,1634,white,60+0,e4 c5 f4 d5 exd5 Qxd5 Nc3 Qd8 d3 e6,B21,Sicilian Defense: McDonnell Attack,1716,advanced
1749,1843,black,60+0,e4 c5 Nf3 e6 Be2 d5 exd5 exd5 d4 Nf6,B40,Sicilian Defense: French Variation,1796,advanced
1549,1609,black,300+0,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d6 Bg5 Be7,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1579,intermediate
1366,1440,black,300+5,e4 d5 e5 e6 d4 Ne7 Nf3 Ng6 Bb5+ c6,B01,Scandinavian Defense,1403,intermediate
1870,1715,white,60+0,e4 c5 d4 cxd4 c3 dxc3 Nxc3 d6 Nf3 g6,B21,Sicilian Defense: Smith-Morra Gambit Accepted,1792,advanced
1220,1652,black,60+0,d4 b6 e4 Bb7 c4 a6 f4 e6 d5 exd5,A40,English Defense,1436,intermediate
1627,1806,black,60+0,Nf3 b6 d4 Bb7 c4 g6 Nc3 Bg7 e4 e6,A04,Zukertort Opening: Queenside Fianchetto Variation,1716,advanced
1731,1517,white,60+0,e4 g6 Nf3 e6 d4 Bg7 Bc4 Ne7 Nc3 O-O,B06,Modern Defense,1624,advanced
1621,1661,black,180+3,e4 e6 d4 d5 e5 c5 c3 Nc6 f4 Nge7,C02,French Defense: Advance Variation,1641,advanced
1499,1895,black,660+0,e4 e5 Nf3 Nc6 Bc4 h6 d4 exd4 Nxd4 Bc5,C50,Italian Game: Anti-Fried Liver Defense,1697,advanced
1706,1570,white,180+0,e4 e5 Nf3 Nf6 d4 d6 dxe5 dxe5 Bd3 Bc5,C43,Petrov's Defense: Modern Attack,1638,advanced
1851,1740,black,60+0,d4 c6 c4 d5 Nc3 dxc4 Nf3 Nf6 Bg5 Bg4,A40,Queen's Pawn Game,1795,advanced
1513,1433,white,1560+30,d4 e6 Nf3 Be7 c4 c6 Nc3 d5 cxd5 cxd5,A40,Horwitz Defense,1473,intermediate
1812,1621,white,60+0,e4 c5 d4 d6 dxc5 dxc5 Qxd8+ Kxd8 Be3 e5,B21,Sicilian Defense: Smith-Morra Gambit,1716,advanced
1755,1837,black,60+0,e4 c5 Nf3 e6 Be2 d5 d3 Nf6 e5 Nfd7,B40,Sicilian Defense: French Variation,1796,advanced
1863,1737,black,60+0,e4 d5 e5 c5 g3 Nc6 Qe2 Nh6 d4 Bg4,B01,Scandinavian Defense,1800,advanced
1203,1654,black,60+0,d4 b6 e4 Bb7 f4 a6 c4 b5 cxb5 axb5,A40,English Defense,1428,intermediate
1782,1666,white,540+0,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 Nc3 d6,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1724,advanced
1888,1771,black,180+0,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 h3 Bd6,C00,French Defense: Knight Variation,1829,advanced
1615,1511,white,60+0,Nf3 g6 d4 Bg7 c4 e6 Nc3 c6 e3 Ne7,A04,Zukertort Opening: Kingside Fianchetto,1563,intermediate
1622,1576,white,300+8,e4 e5 d4 d5 dxe5 dxe4 Qxd8+ Kxd8 Nc3 Nc6,C20,King's Pawn Game: Beyer Gambit,1599,intermediate
1528,1526,white,480+0,e4 e5 Nf3 d6 Bc4 h6 Nc3 c6 d3 b5,C41,Philidor Defense,1527,intermediate
1844,1753,black,60+0,e4 d5 e5 c5 Nf3 Nc6 Bb5 Bg4 Bxc6+ bxc6,B01,Scandinavian Defense,1798,advanced
1845,1746,black,60+0,d4 c6 c4 d5 Nc3 e6 Nf3 Nf6 Bg5 Be7,A40,Queen's Pawn Game,1795,advanced
1656,1431,white,0+1,b3 g6 Bb2 Nf6 a3 Bg7 g4 O-O g5 b6,A01,Nimzo-Larsen Attack,1543,intermediate
1876,1877,white,60+0,e4 e6 d4 Ne7 Nf3 Ng6 Bg5 Be7 Bxe7 Qxe7,C00,French Defense: Normal Variation,1876,advanced
1646,1678,white,600+5,e4 e5 Nf3 Nc6 Nc3 Bc5 Bb5 Nd4 Nxe5 Qg5,C46,Three Knights Opening,1662,advanced
1510,1805,black,600+3,e4 d5 exd5 Qxd5 Nc3 Qa5 d3 c6 Bd2 Qb6,B01,Scandinavian Defense: Main Line,1657,advanced
1244,1857,black,120+0,c4 Nf6 f3 g6 Nc3 Bg7 e3 d6 d4 O-O,A15,English Opening: Anglo-Indian Defense,1550,intermediate
1898,1496,white,660+0,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 d5,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",1697,advanced
1656,1431,white,0+1,b3 g6 Bb2 Nf6 g4 b6 g5,A01,Nimzo-Larsen Attack,1543,intermediate
1503,1624,white,60+0,b3 c5 Bb2 d6 d3 f6 Nd2 e5 c4 Bd7,A01,Nimzo-Larsen Attack: English Variation,1563,intermediate
1638,1795,white,180+15,d4 d5 c4 Nf6 Nc3 e6 a3 Be7 c5 O-O,D06,Queen's Gambit Declined: Marshall Defense,1716,advanced
1827,1426,white,60+0,e4 g6 Nf3 Bg7 c3 d6 d4 Nf6 Bd3 O-O,B06,Modern Defense,1626,advanced
1624,1503,white,60+0,Nf3 g6 d4 Bg7 c4 e6 Nc3 Ne7 e3 O-O,A04,Zukertort Opening: Kingside Fianchetto,1563,intermediate
1662,1586,white,0+1,b3 b6 Bb2 c6 a4 b5 axb5 cxb5 Bc3 a6,A01,Nimzo-Larsen Attack: Symmetrical Variation,1624,advanced
1832,1752,white,60+0,e4 c6 Nf3 d5 e5 Bg4 d4 e6 c3 Ne7,B10,Caro-Kann Defense,1792,advanced
1761,1832,black,60+0,e4 c5 Nf3 e6 Be2 d5 e5 f6 d4 Nc6,B40,Sicilian Defense: French Variation,1796,advanced
1709,1768,white,60+1,e4 d5 exd5 Nf6 d4 c6 c4 cxd5 c5 Nc6,B01,Scandinavian Defense: Modern Variation,1738,advanced
1586,1662,black,0+1,Nc3 g6 Nf3 Bg7 e4 Bxc3 h3 Bg7 Qe2 f6,A00,Van Geet Opening,1624,advanced
1830,1423,white,60+0,e4 g6 Nf3 Bg7 c3 d6 d4 Nf6 Bd3 O-O,B06,Modern Defense,1626,advanced
1495,1631,black,60+0,e3 c5 g3 d6 Bg2 e6 Qf3 Be7 Nc3 Nf6,A00,Van't Kruijs Opening,1563,intermediate
1672,1577,white,0+1,b3 Nc6 Bb2 Nb8 a3 Nc6 b4 Nb8 g3 Nc6,A01,Nimzo-Larsen Attack,1624,advanced
1874,1947,white,180+0,e4 c5 Nf3 d6 Bc4 e6 d3 a6 a3 Nf6,B50,Sicilian Defense: Modern Variations,1910,expert
1630,1783,black,360+6,e4 e6 d4 d5 e5 c5 c3 Ne7 Nf3 Nbc6,C02,French Defense: Advance Variation,1706,advanced
1840,1599,white,60+0,d4 d5 c4 e6 Nc3 dxc4 Nf3 b6 Bg5 Bb7,D31,Queen's Gambit Declined: Queen's Knight Variation,1719,advanced
1754,1886,black,60+0,e4 Nf6 e5 Nd5 d4 d6 exd6 exd6 c4 Nb6,B03,Alekhine Defense,1820,advanced
1657,1789,white,540+0,e4 e5 g3 Nf6 Bg2 Nc6 Nc3 Bc5 d3 h6,C20,King's Pawn Game,1723,advanced
1638,1487,white,60+0,Nf3 e6 d4 c6 c4 g6 Nc3 Bg7 Bg5 Ne7,A04,Zukertort Opening: Queen's Gambit Invitation,1562,intermediate
1576,1576,white,300+4,e4 e5 Nf3 Nc6 Bc4 h6 O-O Nf6 Re1 Be7,C50,Italian Game: Anti-Fried Liver Defense,1576,intermediate
1913,1663,white,420+9,e4 d5 exd5 Qxd5 d3 e5 Nc3 Bb4 Bd2 Bxc3,B01,Scandinavian Defense: Mieses-Kotroc Variation,1788,advanced
1569,1681,black,0+1,d3 b6 Qd2 Bb7 Qd1 Bxg2 Be3 Bxh1 Bf4 Bb7,A00,Mieses Opening,1625,advanced
1577,1755,white,240+0,e4 e5 Bc4 Nf6 Nc3 Bc5 Nf3 d6 d4 exd4,C24,Bishop's Opening: Berlin Defense,1666,advanced
1595,1845,white,60+0,g3 c5 Bg2 e6 d4 d5 dxc5 Nf6 b3 Bxc5,A00,Hungarian Opening: Sicilian Invitation,1720,advanced
1690,1561,white,0+1,b3 c6 Bb2 g5 Bg7 Bxg7 c3 Bf6 h4,A01,Nimzo-Larsen Attack,1625,advanced
1341,1516,black,180+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6,B32,Sicilian Defense: Löwenthal Variation,1428,intermediate
1553,1698,black,0+1,d3 g6 e3 Bg7 Be2 h6 Bf3 g5 Bg4 f5,A00,Mieses Opening,1625,advanced
1843,1928,white,60+0,e4 e6 Nf3 d5 e5 c5 c3 Nc6 d4 Nge7,C00,French Defense: Knight Variation,1885,advanced
1698,1553,white,0+1,b3 c6 Bb2 a6 a3 a5 b4 a4 b5 Ra7,A01,Nimzo-Larsen Attack,1625,advanced
1887,1934,white,180+0,e4 c5 Nf3 d6 Bc4 e6 a3 Nf6 d3 Be7,B50,Sicilian Defense: Modern Variations,1910,expert
1859,1747,white,60+0,e4 d5 e5 c5 Nf3 Nc6 Bb5 Bg4 Bxc6+ bxc6,B01,Scandinavian Defense,1803,advanced
1603,1449,white,300+0,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 e6 Be2 h6,B01,Scandinavian Defense: Valencian Variation,1526,intermediate
1546,1705,white,0+1,e3 g6 e4 Bg7 f4 h6 g4 b6 h4 Bb7,A00,Van't Kruijs Opening,1625,advanced
1743,1827,white,60+0,e4 c5 Nf3 e6 Be2 d5 e5 f6 d3 fxe5,B40,Sicilian Defense: French Variation,1785,advanced
1739,1594,draw,240+0,d4 d5 c4 Nf6 Nf3 Bg4 Nbd2 Bxf3 Nxf3 e6,D06,Queen's Gambit Declined: Marshall Defense,1666,advanced
1688,1562,white,0+1,b3 d6 Bb2 c6 a3 b6 b4 a6 g3 e6,A01,Nimzo-Larsen Attack,1625,advanced
1632,1527,black,240+0,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Qc7,B43,"Sicilian Defense: Kan Variation, Knight Variation",1579,intermediate
1868,1738,white,60+0,e4 d5 e5 c5 c3 Nc6 d4 g6 Nf3 Nh6,B01,Scandinavian Defense,1803,advanced
1500,1732,white,480+0,e4 e5 Nc3 Nc6 Nf3 Nf6 d4 exd4 Nxd4 Nxd4,C25,Vienna Game: Max Lange Defense,1616,advanced
1516,1480,white,60+0,e4 g6 Be2 Bg7 d4 e6 Nf3 Ne7 Nc3 O-O,B06,Modern Defense,1498,intermediate
1231,1814,black,60+0,e4 c5 Bc4 e6 d3 d5 exd5 exd5 Bb5+ Nc6,B20,Sicilian Defense: Bowdler Attack,1522,intermediate
1612,1555,black,60+1,d4 d5 e3 c6 Nf3 b6 Be2 a6 O-O Bb7,D00,Queen's Pawn Game,1583,intermediate
1879,1237,white,60+0,e4 d6 Nf3 Bg4 Bc4 Bxf3 Qxf3 e6 d4 Ne7,B00,Pirc Defense,1558,intermediate
1815,1222,white,60+0,d4 d5 c4 c5 Nc3 dxc4 d5 Nf6 e4 e5,D06,Queen's Gambit Declined: Austrian Defense,1518,intermediate
1877,1319,white,60+0,e4 d5 e5 e6 d4 Nc6 Nf3 Bd7 c3 Qc8,B01,Scandinavian Defense,1598,intermediate
1367,1555,black,0+1,e4 e6 Nf3 d6 c3 f6 d4 b6 e5 Qd7,C00,French Defense: Knight Variation,1461,intermediate
1507,1617,white,480+0,e4 e5 Nc3 Nc6 Bc4 Nf6 d3 Bb4 Bg5 d6,C28,"Vienna Game: Stanley Variation, Three Knights Variation",1562,intermediate
1542,1404,white,480+8,e4 d5 exd5 Nf6 Nc3 Nxd5 Nxd5 Qxd5 b3 e5,B01,Scandinavian Defense: Modern Variation,1473,intermediate
1540,1653,white,300+0,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nb3 d5,B44,Sicilian Defense: Taimanov Variation,1596,intermediate
1214,1816,black,60+0,e4 c5 Bc4 e6 d3 Nc6 Bf4 d5 Nf3 dxc4,B20,Sicilian Defense: Bowdler Attack,1515,intermediate
1878,1243,white,60+0,e4 g6 Nf3 Bg7 c3 Nc6 d4 a6 Bc4 e6,B06,Modern Defense,1560,intermediate
1600,1863,black,60+1,d4 Nf6 e3 g6 Nf3 Bg7 Be2 O-O O-O d6,A45,Indian Defense,1731,advanced
1599,1734,white,240+0,e4 e6 d4 d5 e5 c5 Nf3 Nc6 Be3 Qa5+,C02,"French Defense: Advance Variation, Nimzowitsch System",1666,advanced
1242,1561,black,0+1,d4 e6 c4 Qe7 Nc3 c6 Qb3 b6 Bd2 a6,A40,Horwitz Defense,1401,intermediate
1899,1921,black,180+0,e4 c5 Nf3 d6 Bc4 e6 a3 Nf6 d3 a6,B50,Sicilian Defense: Modern Variations,1910,expert
1817,1207,white,60+0,d4 d5 c4 c5 Nc3 dxc4 d5 Bf5 e4 Bxe4,D06,Queen's Gambit Declined: Austrian Defense,1512,intermediate
1609,1443,white,300+0,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 e6 d3 h6,B01,Scandinavian Defense: Valencian Variation,1526,intermediate
1664,1790,white,360+6,e4 e6 d4 d5 e5 c5 c3 Ne7 Bd3 Nbc6,C02,French Defense: Advance Variation,1727,advanced
1554,1564,black,0+1,e4 d6 d4 c6 Nf3 a6 c3 b6 Bd3 Qc7,B00,Pirc Defense,1559,intermediate
1880,1855,white,60+0,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O d6 c3 Bg4,C50,Italian Game: Giuoco Piano,1867,advanced
1869,1649,draw,180+0,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 Bg5 Bd6,C01,French Defense: Exchange Variation,1759,advanced
1814,1717,white,480+0,d4 c5 d5 d6 Nf3 Bg4 e3 Nf6 Be2 e6,A43,Benoni Defense: Old Benoni,1765,advanced
1523,1500,white,300+0,d4 d5 Nf3 Nf6 c4 c6 Nc3 dxc4 e4 Bg4,D02,Queen's Pawn Game: Symmetrical Variation,1511,intermediate
1465,1562,black,720+0,e4 c5 Nf3 b6 c3 Nc6 d4 e6 Be3 d6,B27,Sicilian Defense: Katalimov Variation,1513,intermediate
1521,1539,white,480+0,e4 e5 Nc3 Bb4 Nd5 Bc5 c3 Nf6 Nxf6+ Qxf6,C25,Vienna Game,1530,intermediate
1200,1818,black,60+0,e4 c5 Bc4 e6 d3 d5 e5 dxc4 dxc4 Qxd1+,B20,Sicilian Defense: Bowdler Attack,1509,intermediate
1659,1920,black,420+9,d4 d6 e4 Nd7 Bb5 c6 Ba4 e5 d5 c5,A41,Queen's Pawn Game,1789,advanced
1543,1575,draw,0+1,f3 c6 e4 b6 d4 a6 Ne2 Qc7 Ng3 Bb7,A00,Barnes Opening,1559,intermediate
1552,1478,white,300+0,e4 e5 Nf3 Nc6 d4 d6 dxe5 Nxe5 Nxe5 dxe5,C44,Scotch Game,1515,intermediate
1889,1932,black,180+0,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 a6 c3 g6,B21,Sicilian Defense: Smith-Morra Gambit,1910,expert
1819,1194,white,60+0,d4 d5 c4 dxc4 Nc3 c5 Nf3 Nf6 d5 Bf5,D20,Queen's Gambit Accepted,1506,intermediate
1236,1532,black,120+0,c4 e5 Nc3 Nf6 f3 d5 cxd5 Nxd5 e4 Nf6,A22,"English Opening: King's English Variation, Two Knights Variation",1384,intermediate
1892,1574,white,60+0,e4 d5 e5 Be6 d4 c6 Nf3 Qc7 c3 f6,B01,Scandinavian Defense,1733,advanced
1777,1775,black,480+8,d4 d5 c4 dxc4 e3 b5 a4 c6 axb5 cxb5,D20,Queen's Gambit Accepted: Old Variation,1776,advanced
1567,1544,white,120+0,d4 d5 c4 dxc4 Nf3 Nf6 e3 b5 a4 a6,D25,Queen's Gambit Accepted: Normal Variation,1555,intermediate
1188,1820,black,60+0,e4 c5 d4 e6 dxc5 Bxc5 e5 Nc6 Bc4 Nxe5,B21,Sicilian Defense: Smith-Morra Gambit,1504,intermediate
1802,1734,white,300+8,e4 g6 d4 Bg7 e5 d6 f4 dxe5 fxe5 f6,B06,Modern Defense,1768,advanced
1756,1548,black,60+1,e4 c6 f4 d5 e5 e6 Nf3 Be7 d4 f6,B10,Caro-Kann Defense,1652,advanced
1896,1571,white,60+0,e4 Nc6 Nf3 b6 c3 Nb8 d4 Bb7 Bd3 Bc8,B00,Nimzowitsch Defense: Declined Variation,1733,advanced
1722,1747,white,300+0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e6 Nc3 Bc5,B32,Sicilian Defense: Open,1734,advanced
1900,1568,white,60+0,e4 f6 Nf3 f5 e5 c6 d4 c5 Bc4 e6,B00,Barnes Defense,1734,advanced
1616,1436,white,300+0,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 e6 Be2 h6,B01,Scandinavian Defense: Valencian Variation,1526,intermediate
1395,1485,white,300+1,e4 d5 exd5 Qxd5 Nc3 Qd6 Qf3 Nc6 Bc4 Nf6,B01,Scandinavian Defense: Gubinsky-Melts Defense,1440,intermediate
1642,1615,white,240+0,e4 e6 d4 c5 Nf3 cxd4 Nxd4 e5 Nb3 Nf6,C00,French Defense: Franco-Sicilian Defense,1628,advanced
1555,1563,white,300+0,e4 e5 Nf3 Nf6 Nc3 Nc6 Bc4 Be7 d3 O-O,C42,Petrov's Defense: Three Knights Game,1559,intermediate
1231,1452,black,120+0,c4 d6 Nf3 e5 e4 c5 Nc3 Nc6 Nd5 Be6,A10,English Opening,1341,intermediate
