white_elo,black_elo,result,time_control,opening_moves
1747,1315,white,300+6,e4 e5 f4 exf4 Nf3 Bc5 d4 Bb6 Bc4 Ne7
1630,1590,black,300+5,e4 e6 d4 c5 c3 cxd4 cxd4 Nc6 Nf3 b6
1477,1491,white,0+1,b3 e6 Bb2 f6 Bc3 Qe7 Bb2 Qf7 Ba3 g6
1070,1052,black,360+9,e4 e5 Nc3 c6 Bc4 Bb4 Qf3 Nf6 a3 Bxc3
1369,1645,black,180+0,e4 c5 Nf3 Nc6 Bc4 e6 d4 d5 exd5 exd5
1409,1213,black,180+6,e3 e5 d4 exd4 Qxd4 Nc6 Qd1 Nf6 Bb5 Bc5
1667,1676,white,0+1,g3 d5 Bg2 e6 c3 Nf6 b4 Be7 a4 O-O
1343,1490,black,360+5,e4 e5 Nf3 Nc6 Bc4 Be7 c3 Nf6 Ng5 O-O
1665,1849,black,60+0,d4 d5 e3 Nf6 Nf3 Bg4 g3 e6 Be2 c5
1678,1569,white,0+1,b3 d6 Bb2 Nf6 e3 g6 g4 Bg7 g5 O-O
1727,1751,white,60+0,e4 e5 Nf3 d6 d4 f5 exf5 e4 Nfd2 Bxf5
1254,1491,black,180+9,e4 e5 Nf3 Nc6 d4 Bd6 dxe5 Nxe5 Nxe5 Bxe5
1662,1582,black,180+0,e4 c5 Bc4 Nf6 Bxf7+ Kxf7 f4 Nxe4 Nf3 d5
1550,1648,white,120+0,d4 d5 c4 dxc4 Nc3 Nf6 e4 e6 Bxc4 Bb4
1490,1413,white,0+1,b3 d6 Bb2 c6 a3 b6 b4 Nf6 Bxf6 exf6
2054,2122,white,120+0,d4 Nf6 c4 e6 Nc3 d6 e4 Nbd7 Nf3 Be7
1319,1361,black,300+0,d4 e5 c3 exd4 cxd4 Nf6 Bf4 Bb4+ Nc3 O-O
1533,1210,white,420+0,e4 Nc6 Nf3 e5 Bc4 Nf6 d3 d6 Ng5 Be6
1474,1479,white,420+9,e4 e6 d3 f5 f3 f4 Bxf4
1855,1659,black,60+0,d4 d5 c4 b6 Nc3 Bb7 Nf3 dxc4 e4 e6
1507,1585,white,60+4,e4 c5 Bc4 Nc6 c3 e6 Nf3 Nf6 d3 d5
1422,1528,black,600+10,d4 Nf6 c4 d5 Nc3 Bf5 Nf3 Ne4 Bd2 Nxc3
1616,1724,black,360+8,g3 e6 Bg2 d5 e3 Nc6 a3 Nf6 Ne2 Bd6
1797,1646,black,480+1,d4 e6 c4 d5 Nc3 dxc4 Nf3 Bb4 Bg5 Bxc3+
1686,1479,white,0+1,g3 d6 Bg2 e6 b3 c6 Bb2 d5 Bc3 Be7
1439,1185,white,300+0,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 f5 d3 Bd6
1594,1593,white,240+0,e4 e6 Nf3 c6 Bc4 d5 exd5 cxd5 Bb3 Nf6
1549,1511,black,900+0,e4 c5 c3 Nf6 Bc4 Nxe4 d4 Nd6 Bb3 c4
1500,1403,black,0+1,e3 d6 Qf3 c6 Bc4 b6 Qxf7+ Kd7 Qf5+ e6
1204,1271,white,420+0,Nf3 d5 d4 h6 a3 Bf5 e3 e6 Bd3 Bg4
1536,1749,black,120+2,e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 Nf6 d3 h6
1531,1347,white,420+0,e4 e5 Qh5 Nf6 Qxe5+ Qe7 Qxc7 Qxe4+ Ne2 Qc6
2107,2068,black,120+0,e4 e5 Nc3 Nc6 f4 Bc5 Nf3 d6 d3 Nf6
1868,1241,white,300+13,e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 h6 a3 Nf6
1485,1266,white,420+9,e4 e5 Qh5 Nc6 c3 Nf6 Qf3 d5 d3 Bg4
1691,1474,black,0+1,d3 e5 e4 Qf6 b3 Bc5 Be3 Bxe3 fxe3 Nh6
1879,1909,white,180+0,e4 e5 d3 d6 c4 f5 Nc3 Nf6 f4 Nc6
1595,1807,black,300+8,e4 e6 Nf3 d5 Nc3 c5 Ne5 Nf6 Bb5+ Bd7
1634,1565,white,120+0,d4 d5 Nf3 c5 a4 Nc6 dxc5 e5 h4 Bxc5
1168,1445,black,300+0,e4 e5 c4 Nc6 Nf3 Bc5 Nc3 Nf6 Nd5 O-O
1484,1419,white,0+1,g3 d6 f3 c6 Bg2 b6 h3 Bb7 g4 e6
1423,1532,black,480+5,c4 e5 e3 Nc6 a3 Bc5 b4 Bd6 c5 Be7
